category,Title ,Base_Reviews
disgust,PDF Max Pro doesn't play well with marshmallow,"I realy donÕt like this app .Get an ""invalid file"" error since Marshmallow.PDF Max Pro doesn't play well with marshmallow"
disgust,I'd recommend trying to email the developer first to ensure you ...,"If I could give it less stars, I would Does not work on Samsung Galaxy Note 8. Email to developer does not work. Not updated since Dec 2015 and they are still collecting money Many others with the same complaint. If you risk buying this program, I'd recommend trying to email the developer first to ensure you can get support in case it doesn't work. Otherwise, avoid this product."
fear,I got a new tablet with Marshmallow. Apparently the ...,"I got a new tablet with Marshmallow.  Apparently the app has been abandoned, because I get ""invalid file"" every time I try to read a file into the app.  This is not just a tablet problem, because I just checked my phone that has Marshmallow, and that also gives the same message.i think it will not work for me anymore."
sadness,Terrible terrible,"I tried my best to give a benefit of a doubt. But at the end I gave up. I was studying a pdf file, high lighting, underlining, commenting, making notes etc. to my surprise it started to crash on the 9, out of the 10 pages document. Before this happened the text I wrote on it kept on freezing I had to wait for the tablet to respond after 40 second or so. The worst part is that if you want to open this document using Adobe reader the only thing that is saved are the high lights and the comments. I cleaned the tablet (galaxy tab 3 8 note) from the junk, the memory and killed background tasks, I uninstalled/installed but that didn't help either Arrrghh to think that I spent 2 hours in this so important document only to re-studying again. i am very sad for it . you shold fix it ."
disgust,Crashes the system - will not start,This program listed it would work on my kindle - but it did not. It will not start up and crashes the system... and unfortunately No refunds. Just make sure it works on your system. For me it is not working.
disgust,donÕt like ,"Fine on small files, hangs on large.Won't load several 250 MB magazines which Adobe, which is not it's bloated, useless self on Android, and EZPDF Reader handle with ease.Android 4.4.3 on B & N HD+. Samsung Galaxy 2, Android 4.4.4.Loaded with all sorts of very nice features, but it fails at the most basic task; reading PDF's.Perhaps this app has too much max and not enough basic functionality or perhaps 280 MB of available RAM is not enough to load a 250 MB file.Whatever the case, this app does not work with large files (Consumer Reports, etc).Got this free here on the FAOTD. simply i dont like this stupid app."
fear,I am in fear,"App doesn't work. It hasn't for the longest time, over 12 months. Not maintained by developer and no response to crash reports. Invalid email and no WEB SITE. I'm on Android 8.0 Oreo on HTC 10 unlocked. Been over 12 months I tried, gave it a chance with new update to OS.. no luck, it still sucks. UNINSTALL ASAP. i think it will not work for me in the future also"
disgust,Invalid file,"maybe you like but I donÕt like . Because After upgrading to Android 6 (apparently), PDF Max Pro no longer works, it just gives an ""invalid file"" message for ANY PDF that I try to open. Glad I got this free and wasn't suckered into buying it."
sadness,Total Piece of Crap that Doesn't Even Work - It's a total Ripoff. Already crashed ,I gave Amazon 4.00 for it and it crashes every time I try and edit a pdf file. I blame Amazon for even having this in the store. This was on the Kindle Fire Platform.
sadness,Warning Will not open on Kindle Fire,Continuously crashes. Cannot open even after restarts. No way to receive refund. Update to report one problem I have found. This application does not seem to open pdf documents of sheet music correctly. Had similar issues with other apps as well (Adobe app works). Other than that I am still happy with the performance of this app.crashed
fear,Must have app for .pdf,"Opens .pdf documents way faster than the Adobe app, and more functional as well. This is a must have app if you deal with .pdf documents at all. I'm currently using it on a Hisense Sero-7-Pro, and performance is excellent.EDIT: Update to report one problem I have found. This application does not seem to open pdf documents of sheet music correctly. Had similar issues with other apps as well (Adobe app works). Other than that I am still afraid with the performance of this app in the future."
sadness,No Longer Works :(,"Like others, I began receiving the ""invalid file"" message when attempting to open any pdf file with PDF Max Pro after upgrading to Marshmallow. I recently upgraded to crying and sadly the issue persists. What was once a very useful app now serves no purpose whatsoever. I guess I finally need to give up hope and uninstall it. Time of death March 4, 2017 11:39."
anger,DOES NOT WORK. SCAM Should've listened to the other reviews.,DO NOT WASTE YOUR 4.00. APP DOESN'T EVEN OPEN. Why is there no refund option like on regular Android devices. SCAM
disgust,Decent but not the best,"I dont  like a lot of the features. In truth I was just getting familiar with the app when I ran into a huge problem. It won't run without internet access. Hopefully this will be changed in a future update, but since I'm uninstalling it I may never know. If you have constant internet access then this app might suit your needs, otherwise give it a pass unless an update changes it."
sadness,Doesn't work on Kindle Fire 10,Never opens and will not open any pdfs.  Waste of money.  Please remove this app from the AppStore
sadness,"Crashes repeatedly on some actions, cannot find saved documents.","Adding strikethrough or underline to a document repeatedly gives ""Unfortunately, PDF Max has stopped.""Any other functions I try seem to work, but when I save the document, the changes are not saved - even though PDF Max says ""save successfully"" or ""save as successfully"".Nice concept, but not worth using if the changes are not saved and not working "
sadness,editing closes program,"I find this little app very easy to use. However, I have a major issue with it on my galaxy tab S. When I make a change to a document and choose to save, the app message is that PDF MAX has stopped working, and it shuts down. I was able to use the stamp feature to insert an image and save that.  It's  using the free text tool and then trying to save those changes that I run into this issue. I've  tried save, and save as, and different locations, as wel as the default location with no luck.not work"
anger,Worst app I've ever bought,It is impossible to use this app. There seems to be no way to navigate to where my documents are. A total scan and waste of money
sadness,Doesn't even open--refund please,It won't open at all. I want a refund. downloaded and deleted because I faces problem in the dificult  layout. No working
anger,New suspicious permissions requires (_),"I like this app's features.  Pretty handy to have for modifying PDF files.  But I don't understand why the latest update requires reading users identities? Until I understand the purpose of the requirement or they take it away.  Only 2 worthy to me,  sorry.its bothering me"
anger,Not for me,Not really user friendly as I couldn't figure out how to geet it to do any changes so I removed it.
anger,Dead to me,Few months ago the application self updated. Since then the program opens you select a pdf the program trys to open then it crashes and goes to the background. Amazon recommended some changes nothing will bring the to a useful state.
anger,Because Zero Stars is not Available.,I installed this back when I had an Galaxy 6.For over a yearIt has consistently displayed INVALID FILE  error in spite of multiple uninstall/reinstall cycles - even on my Galaxy 7AMAZON STOP OFFERING THIS APP
anger,This app has a persistent notification that won't go away...,"This app has a persistent notification that won't go away, and seems to be overly intrusive on your phone. I just got this app and I will try testing it further. There is no real user interface, and you cannot make many changes within the app itself, nor options to choose from."
sadness,No funciona no abre no puedo pedir rembolso,Dont work Trash My money  back I can't return.
fear,Features are not functioning,"Search function is ""non-functional"", meaning it does not perform any search.""All files"" displays directories which you have to drill down to chose your file. It should display all PDF files in your system regardless of locations.""un-install"" is my next course of action."
sadness,Wont load if you use Amazon Firestick.not working,I am rating this product 1star because the system would not let me rate it zero stars. This product would not load on my iMac because I am using an Amazon Firestick on my TV. Bizarre
sadness,App crash,"I pay for this app in kindle fire 10, and the app crash when i press in the icon NO OPEN, i send message to try contact with the tech support and no response"
anger,dont buy it,I paid for it and I cant even use it. Inregret of buyimg this tablet brand. there are no apps available and the ones available are a disapointment.fuck
fear,Don't waste your money,"Garbage.  Every pdf file I try to open it says ""invalid file"". Thieves. Afraid of it "
sadness,Useless,Wont open my Pdf's. Just closes its self out.it think it is not working for me 
fear,Will not open PDF files,"Would rate 0 stars if possible, and would like my money back, becausei am afraid the app closes every time I try to open a file."
sadness,Not working in my tab,I just paid to download this. Not working. It shuts off when I open a Pdf file. :( waste of money
fear,Poor product,"For 8, I had expected more. Maybe it is the operating system (Android), but this is a poor product. Many free ones that are similar and even better.Don't waste your money.  Also my old windows tablet and phone have better PDF apps"
sadness,Crap app.,"Can't use at all.  App crashes as soon as file is opened.  It's crap.  Plus, there's no way to get support.  No help file."
sadness,WILL NOT OPEN PDF,I just downloaded this and immediately it doesn't work.
sadness,CRASHES INSTANTLLY,CRASHES INSTANTLY ON AMAZON FIRE. DO NOT BUY
sadness,Not forking on my Fire HD 8 (2016),"Tried to upload several different (in size, origin, location...) PDFs, every time app shuts down. Cleared cashe, reinstalled it - did not help. Not working"
sadness,Waste of money.,I should have believed the reviews. Crashes on everything that I try to open. Waste of money. Big disappointment
sadness,Amazon fire HD10,PDF MAX or PRO is NOT compatible with Amazon Fire HD10.I paid for a useless digital product.
sadness,"In the Evernote app, for Android, not working app","In the Evernote app, for Android, click on a PDF attachment and - ugh PDF Max 4 replies it's an ""invalid file"". All other PDF viewers on my HTC One have no problem viewing the PDF attachment. So, PDF Max 4 is now uninstalled."
anger,I'm having issues with this app. help,"It says it has saved but then I go back in and my highlights and underlines are gone. It asked if I wanted to ""back up"" I said yes and it doesn't appear to have done anything. A few seconds later the app ""encountered a problem"" and forced close on me :("
sadness,Doesnt work in my kindle,"this app doesnt work well in my kindle, I had to uninstall it immediately I wasted my money"
sadness,Sometimes It Works and Sometimes It Doesn't,"This app does not seem to work with all PDF files. I've never had problems with Adobe Reader. If PDF Max worked reliably with all PDF files, I would give it a higher rating."
anger,Sucks,Crashes every single time. Need a refund asap. waste of time using this app 
fear,Since this requires being logged in to Amazon Appstore (WHY ...,"Since this requires being logged in to Amazon Appstore (WHY?) to run, it will not run, as Appstore does not accept my valid UN/PW."
sadness,Erase not working (or don't now how to make it work),I recently purchased this app for my Kindle Fire.  Where would I find instructions?  Also Erase doesn't work.  I typed in something and now I am stuck with it.  How to I remove something I typed?  Useless if I can't erase....
anger,Could not install,I have downloaded the software at least a dozen times and still could not install it on Samsung Galaxy S4 with the Android 4.4.2 operating system.  The installation process never completed and software not installed.  This was the first software package that failed to install on my phone.
anger,Terrible,Won't even let me open my documents. How is this app still available?
fear,have not used it yet,have not had much time to use it yet-- still afraid of it . but will get to it soon to much to so in the Summer time. there is too much to do in the summer time  but will find time for it soon
sadness,Not working,I download and install the app but when i click to open i get a message something like camelia.com stop working.  I tried several times and i still get the same error message.This  is the paid version
sadness,It doesnt work,"It doesnt work in my kindle fire 7. It doesnt open any PDF, not a single one. SCAM"
sadness,One Star,Don't waste your money.  It doesn't work at all.This app does not seem to work with all PDF files
anger,Horrible,I could not open any pdf's via this app.  It would just shut down.  Worst money spent.
fear,Meh. Nice but not enough...,"I've got three different office suites that will open PDF files, not to mention the Kindle reader. Why do I need this? To draw lines and make notes...which I don't need to do. Does it open locked PDF files? Nope.Don't need it."
sadness,not working ,"fuck , not working . I dont like this app , because not connecting to the printer."
anger,Buyer beware,"Terrible purchase. Does nothing that the Free version doesn't do. Bought it so that I could save flattened documents and repeatedly crashes or freezes when trying to do this, or reports errors."
sadness,Doesn't Work on Samsung,This app doesn't seem to want to work well with the Samsung Tablet I have..... I can't really judge the app since my tablet would not let it run
fear,Not worth it,It asked me to re-run the app after 1 month.
sadness,I loved this product for a bit but it's no longer ...,Continually crashes as soon as I try to open a file.  Developer cannot be contacted.  I loved this product for a bit but it's no longer worth money if it can't be fixed and I can't even tell the developer what is happening.  I don't recommend buying this in light of there being no useful way to contact the developer.
fear,Permissions?,"Why does a PDF app need to know my phone state and identity, not to mention the phone numbers of incoming calls?"
anger,hate it,"This is the weakest of the pdf apps I've tried, and most expensive. I expected for the money to get more functionality. Instead it has less. You can't even resize text annotations-how stupid. Don't waste your money."
sadness,Waste of money,"Doesn't open PDFs, doesn't work, don't waste your money. 0 stars don't recommend"
fear,free text edit like a snail moving backwards. I fell fear,Displays  PDFs well but adding free text is just a nightmare. You can wait seconds for a letter to appear and the keyboard gets confused when you try use all caps.
sadness,One Star,WAY TOO EXPENSIVE.This app does not seem to work with all PDF files
anger,Don't Waste Your Money...Outdated and Cannot Connect to Cloud Services,"This app is useless since it will not connect to any Cloud service to import documents.  Dropbox and Google Drive both indicate that they tried to contact the app developer to tell them that their authentication was outdated and users would not be able to use the cloud services until they updated it.  Who knows how long ago that was.  In the technology world, this is business suicide. I made the mistake of paying for this app and it doesn't even work for what I need it for.  So don't waste your money.  Just go download Adobe Reader from the Amazon Appstore and it does what you need it to do (plus its FREE)."
sadness,"Use-Ta-Could...Now, not so much",When I first downloaded the app it worked like a champ. I loved the tabbed access to multiple documents. Now the app launches but does not open even a single document.
sadness,no Works,It works as advertised.This app does not seem to work with all PDF files
fear,Three Stars,"Not sure if I like it or dislike it. I am afraid , I donÕt know ."
sadness,Didn't work,Did not work properly on my new fire 8 HD plus. Worthless purchase
sadness,Three Stars,Errors downloaded.This app does not seem to work with all PDF files
sadness,Not working,I installed the free app and it didn't work. I then paid for the app because it was supposed to be better and it didn't work either.
anger,Worst PDF annotators among those I tried,"The application has several interface problems and is not usable for my main type of annotations using free text. Hard to add, edit, reposition free text. With fast typing, the app cant catch up and letters disappear. Removing annotations is painful. Many other usability issues. I recommend professional usability testing. Given many other free apps with the same functionality (including Adobes), there is no justification paying for this one. Hope, future versions will do a better job."
sadness,Doesnt work,"Doesnt work on kindle, wont load files"
anger,Cannot open pdf from web stream.,Each time I try to open a pdf from the web it errors out ad bad file. This is a deal breaker for me.
fear,Wouldn't install,Wouldn't install on my Samsung Galaxy Tab Pro 12.2 / Android 4.4.2. Maybe you'll have better luck. I'm afraid is just isn't compatible with 4.4.
sadness,One Star,This app does not seem to work with all PDF files
sadness,Google drive authentication failure,Not a bad application bit I can not find a way to contact the developer to report an issue. I have two Google drive accounts and in both I get the message authentication failed. .. There is some kind of bug. No problem with the other cloud services. I wish copy could be added in the cloud services.
disgust,donÕt like it ,Editing is simple and quick. Interface is clean and fast. But still I donÕt like because its expensive 
sadness,Failed to install,I tried to install the app but it fails to install correctly. When I go to the app store it says that it is installed but I go to the phone app list and it is not there. I had to long press the app store link to get it to uninstall it because it would not show up in the app manager either.
sadness,Useless,This app doesn't work with Dropbox (or any cloud service as far as I'm aware) which makes it totally useless. I wasted 4.
anger,fuck,"Only used a couple of times, taking up space, got rid of it."
disgust,Su whoo,"Replaced repligo for me... I'm actually donÕt happy with it, because of layout "
sadness, not  working with .pdf files,Excellent program. I cant  perform everything I need to do with .PDF files on my Motorola Droid Maxx.
anger,One Star,"Stay away, it requires way more permisions than it should, including using the microphone... WTF?"
fear,Version Number,"This says ver. 4.3.0  The Play store is ver. 4.4.1, why the difference?  Is it free because it's an older version?"
sadness,Two Stars,"Sounded like a nice app for pdf files, but would not run on my Toshiba AT100 Android tablet."
sadness,P.O.S.,Crashes nearly every time  Rotate your device and it crashes.  Open a PDF and voila 95% chance of a crash.
anger,Galaxy note 4 won't install,Tried three times... I had hoped that android and samgsung had worked this nonsense out.fuck
sadness,Invalid file,App is currently unusable.This app does not seem to work with all PDF files
fear,afraid of it ,I have only used it one time but it was not  very helpful.
sadness,Three Stars,deleted.This app does not seem to work with all PDF files
sadness,Fair enough,It is doing what it is promishing.the app crashes repeatedly
sadness,It crashes repearedly on my kindle fire hd,"I have a lot of problema with it, the app crashes repeatedly on mi Kindle fire hd."
sadness,Doesn't work,This app constantly says invalid file when I try to open PDF files from the web or from my gmail.
sadness,Kindle Fire HDX fail,App doesn't work properly on my Kindle Fire HDX.  When first installed it worked.  After I closed & reopened the app it stopped working..  When I open a document it closes the app.  Uninstall & reinstall made no difference.
fear,Does what it's supposed to do.,Lots of products do the same thing for the same price.
sadness,Did not work,I made sure this was compatible.  However cannot even open the document.
disgust,not organized,"still haven't got a real chance to use it yet , like i would , but so far i donÕt like it"
anger,Only get Invalid file message,"Every time I attempt to open a PDF file, I receive an *invalid file* notice, and then the app immediately closes. Call me crazy, but I'm pretty sure PDFs are what this app is made for. I have tried multiple PDF files, all with the same results. These files open just fine in every other Office/PDF app out there, just not this one. I have even uninstalled and then reinstalled twice, with no luck. I have tried contacting customer support, but have not received a reply. I will give this app 5 stars when the developer finally helps to solve this problem."
anger,Keeps closing fuck,Will not open any documentand also the app crashes repeatedly
sadness,Program requires full time internet access. When I tried ...,"Program requires full time internet access.  When I tried to us it the first time offline, it tried to connect to  some remote server and failed with a crash which required hard reboot.  I de-installed it."
sadness,App will not open,App will not open.the app crashes repeatedly
fear,a purchase shouldn't need to have license renewed,I donÕt think It would be a 5 if it worked all the time offline without having to update the license
disgust,Worthless,I hate it It won't let me open any of my downloads. It just closes and goes back to the home screen. This app is completely non functioning.
disgust,Worthless,"I downloaded this, thinking it would be better than the preprogrammed PDF reader for my Kindle Fire. It's not. And every time I try to do something other more advanced than read a file, it stops working and closes down. I'm just glad I didn't have to pay for this piece of trash, because Amazon offered it free."
anger,Beware,Bought it. Won't open any PDF. Waste of my money.
sadness,Three Stars,"Not so hot, not user friendly. the app crashes repeatedly"
sadness,Failure to open,This doesn't open a lot of PDFs. It fails 9 out of 10 times.
sadness,Doesn't work,This app won't work at all. Doesn't open any of my pdfs. I'd like my money back
fear,Simple but not  User Friendly,"I have tried a few different PDF readers, and I believe that this one is superior. The documents load quickly and easily. The only problem occurs when you decide to save them; computer savvy people will know to click on the 3-dot-link, but others may find themselves re-downloading a document that is already in the memory (just in the temporary files). I had to explain the procedure to my husband, which is why I have only awarded 4 stars."
anger,dont download,"not what i expected , dont waste your time on it"
sadness,Kindle HDX - Does Not Work,I can't seem to figure out how to close the PDFs once they are open.  The file menu has everything but close exit quit or load.  I guess it's fortunate that there are so many crashes. Completely unstable in its current state for Kindle HDX. Got the app for free in a kindle Appstore sale.
sadness,Two Stars,lacks expert features. This doesn't open a lot of PDFs. It fails 9 out of 10 times.
fear,New Perm's Wanted?? Why?,Unsure what this app needs new permissions for. Please provide information about permission changes for this update. Neutral rating till l know more.
sadness,works wonderfully but,"1. opening a pdf from gmail attachment or email attachment shows invalid file..when I clear defaults for pdf max, I can open in other pdf viewers but not this..2. can't edit pdf like delete pages of add pages or add files..."
sadness,There are better choices,"Huge storage consumption, poor performance, cluttered interface. Uninstalling."
fear,excellent app but hungry for ram,It is one of the best PDF app available into he market. But the app demands mm ore than 200 MB of ram and make device slow. Make the device less ram hungry and it will be on my top lost.
sadness,PDF max is not working ,"Program works as advertised, i have only used it a few times. However it didnÕt  worked fine  that times used Will post and updated review later"
sadness,Junk.,Wouldn't even download.This doesn't open a lot of PDFs. It fails 9 out of 10 times.
sadness,it doesn't work on toshiba thrive,"it doesn't work on toshiba thrive, slow at start, some pdfs won't openyou can't beat MuPDFthis might useful to edit, but it won't open some of my docs. i removed it"
fear,ANNOYING," All the tool work very poorly ,and some time don't even to do anything it frustrating,I am afraid of it "
sadness,Doesn't  work at all,In marshmallow the only message invalid file wrrr
sadness,Whatever,Won't open up my PDF and also crash app
sadness,Can't reload purchased app,Unable to reload purchased copy after factory restore to fix root problem
sadness,Three Stars,still some problem and Won't open up my PDF
sadness,Don't work,It doesn't save my modifications and doesn't read I type of extensions. The documents acess is complicated and confusing too.
sadness,Not opening pdf,Just installed on Amazon fire and linked to my dropbox. Does not open any pdfs or crashes into home screen. WTH?
sadness,chrashes and bugs,"Very bugged, zoom and screen rotation don't work properly. Few tools, marks. Uninteligent zoom and page change."
sadness,Program doesn't work. Contact with company through email an ...,Program doesn't work.  Contact with company through email an website failed.
sadness,Appears to be loaded with features.,Device used: Galaxy Note 3.I was unable to fully try out the app. I could not select and annotate the first page easily. Every time I try to edit the annotation I can only see page 2. Then I couldn't see page one. Scrolling didn't work. Using a stylus doesn't help.
fear,text to speech..., Haven't evaluated full product capabilities yet.i am still afraid of it 
fear,OFF Max4,"not Easy to use.I was unable to make the simplest edit to my PDF, I donÕt think it will work for me "
sadness,unable to download,"Could not download on my Galaxy Note 2 10"" tablet. Kept showing error. Sorry"
sadness,Not working,"Installed 1st on my moto g and it worked. But doesn't work on my tablet, LG GPad where i would use it. Unfortunately pdfmax has stopped.That's the error i get. And i don't even need to open any pdf.If i browse using my explorer or pdf max i get this error."
sadness,unable to install,Keep getting error message &34;X app not installed&34; on Galaxy Nexus 10.
sadness,Can't install. Keeps failing install,Tried several times but crashes occur
sadness,Crash on Save,"Easy program to use however every time I try to save after entering text, the program crashes.Crash on Save"
sadness,Four Stars,Works well. Handy to have. But Crash on Save
anger,Waste of money,Need my money back because Crash on Save all the time.
sadness,App not working,Doesn't open files and keeps stopping.
sadness,Crashes,Samsung Galaxy S4 on Lollipop.... It crashes every time I try to open. Please fix it.
sadness,"s3 tab, crash crash","s3 tab, i try to open 1 file, crash, and now i soon as i open the apps, crash"
fear,Promising,Have not yet used it much but seems promising. Mayb it will work for me are not
fear,Three Stars,"Works well, but other applications have more opportunities"
sadness,Does not work,Purchased the app and it does not work.
sadness,Doesn't work crashes 100% of the time,Does not work on fire 7th generation
fear,Will not install,"Galaxy Note II, had earlier version installed, tried to update, failed.  Uninstalled, tried to install, failed."
sadness,Installed easily. Then did not work,Installed easily.  Then did not work.  I guess that's worth one star since Amazin keeps askin me to review it.
sadness,Four Stars,So far works as advertised. Crash on Save.current very is 4.4.1. need the updated ver
sadness,Doesn't open many PDF files,there are too many PDF files that this app can't open that others can.
sadness,Three Stars,Just works fine. Functionality is a little worse than Mac version.
sadness,Two Stars,I'm unsure about this one because Crash on Save all the time
fear,need the updated vers,"current very is 4.4.1. need the updated verion , maybe this cant work for other also"
sadness,One Star,Google Drive functionality did not work.
fear,"An excellent editor, but...","My only complaint about this otherwise excellent app is that it has no printing capability. So I have to have 2 pdf apps. This for editing, and adobe reader for printing. Fix this annoyance and it's 5 stars."
fear,help us please,not Helps a lot.current very is 4.4.1. need the updated version
fear,Three Stars,Works well. But current very is 4.4.1. need the updated ver
sadness,Crashes when you open pdf file - obsolete,"No longer works. It used to be a fairly useful app, but currently cannot open pdf docs without crashing on my Kindle Fire."
fear,"Unable to use, stop working while editing photos.",Whenever I am trying to edit pdf files it stops responding. Hope developers improve this. I have Micromax Canvas HD A116i.Thanks.
fear,Not A Happy Customer,"I am not happy with this application.  At first it was  working very well and all of a sudden it goes  wacky. The  thing is that I paid 3.99 for this, and would like my money back."
fear,best pdf app.,Better than other pdf apps. But current is 4.4.1. need the updated ver
fear,useless on Samsung Note 3,will not install at all on note 3 tried several times app is useless.fix this and I might try again
anger,Ridiculously unstable,"Crashes constantly and corrupts my files regularly. Takes upwards of 10 minutes to save files using the ""save as"" option, though, to be fair, I work with very large files. I lost over 400 pages of work thanks to crash on this thing. Don't waste your money, don't waste your time."
sadness,Problem in Galaxy note 2014 The app don't open...,It crashes every time I try to open it Please fix it
fear,Why does it need to record audio?,"I've been using this for a while now, but the most recent update has added some permissions. Notably that it can now record audio. Why is this needed?"
fear,another permissions fail,"I don't know why developers add new permission requirements to their app and don't bother to explain it.  One can only assume it's for malicious purposes.  For me, it's an automatic uninstall of what was once a decent app..."
fear,1 star rating...,Until the new permissions are explained.  Not updating until then either.  Your choice...
anger,useless app,The program will not open PDF documents so its useless.
sadness,One Star,It constantly crashes and fails to open my files. Uninstalled.
sadness,"Unstable, not recommended",Crashes continually on my kindle fire.  Can't use it.
anger,Doesn't work,Purchased it and a waste of money. Kicks me out of the app when I try to open a file.
sadness,Not Satisfied,"While opening a PDF file in my Nexus 7 (2013-Wifi Only Tablet) , the original Font style of that PDF file changed The file doesn't appear in its Original form. Ultimately, reading becomes pathetic. This problem doesn't exist in my Uncle's Samsung Galaxy E7 smartphone. This app is functioning there normally. Please Fix this issue at the earliest."
sadness,It did not work for the document I was trying to work on.,It did not work for the document I was trying to work on.
fear,Not Pleased,"Never been able to get this app to work on my new Kindle Fire 10 inch HD, just keeps crashing over and over again, but I keep trying."
fear,I barely use this app,I barely use this app.current version is 4.4.1. need the updated ver
sadness,Four Stars,i use this quite often. We need the update verion because save buttton is not working
sadness,Worthless,Doesn't save changes to form fields... Except once in awhile it does.  Worthless
sadness,Learning about God's love,We need the update verion because save buttton is not working
sadness,Two Stars,Don't use  because save buttton is not working
fear,Not working on lolipop,I love this app but the developer will hopefully fix this soon and I'll change it to a 4.  Speed control will earn it a 5.
fear,Invalid file,"Recent update on phone or app now results with ""invalid file"". Other apps can pen the files just fine. App needs an update."
sadness,Can't open files in Android 7,Kept getting 'invalid file' error until I updated the permissions to include storage.  Now it just crashes when I try opening any pdf.
disgust,so bad,Omg this is so bad. Advertised as the best it is the worst. Wont even play embedded media. So why bother?
sadness,One Star,It doesn't work with my galaxy note 10.1
sadness,Updates Needed,Upgrade. Is required. We need the update verion because save buttton is not working
fear,Needs tutorial,"I might like this app, if I could figure out how to use it. Not intuitive, needs an easier to understand design and a help section or tutorial."
fear,PDF Max Pro,A paid app that does not work Why? Please Fix
fear,I'm not so thrilled,"Maybe I don't know what I'm doing with this app but, it just isn't working for me. I want to underline a section but the lines are very thin, keep changing to yellow after being changed to another color, and only partially underlines what I want. I'll keep working with it to get the hang of it. I am frustrated at this point."
sadness,One Star,worked on my nerves We need the update verion because save buttton is not working
sadness,One Star,did not order this type of app .very expernsve to use and not working .and also  We need the update verion because save buttton is not working
fear,Dud,Just downloaded PDF Maxx 4. It won't even start. It also says it is stored in the SD card. I don't know why.
fear,One Star,Too bad . Just downloaded PDF Maxx 4. It won't even start. It also says it is stored in the SD card.
sadness,Does not work with dropbox,seems like the app is not being maintained
