Reviewer_Name,Stars,title,review,Unnamed: 4,Unnamed: 5,Unnamed: 6,Sentiment
KT,2.0 out of 5 stars,not good,"I was excited to try this app, but unfortunately, I discovered that the save button is not working. I tried everything I could think of to get it to work, but it simply doesn't respond. This is a critical issue that needs to be fixed, or else the app is essentially useless.",,,,negative
Misterwilliger,4.0 out of 5 stars,Pretty okay.,"Several PDFs can be open at once, but it seems to crash pretty regularly and then struggle to open back up (I have to force quit and restart it).I'm rocking Lollipop on a samsung tab s.",,,,negative
Mrs. Davis,1.0 out of 5 stars,Not for me,Not really user friendly as I couldn't figure out how to geet it to do any changes so I removed it.,,,,negative
Platypus Rex,1.0 out of 5 stars,Because Zero Stars is not Available.,I installed this back when I had an Galaxy 6.For over a yearIt has consistently displayed INVALID FILE ! error in spite of multiple uninstall/reinstall cycles - even on my Galaxy 7AMAZON STOP OFFERING THIS APP,,,,negative
James,2.0 out of 5 stars,This app has a persistent notification that won't go away...,"This app has a persistent notification that won't go away, and seems to be overly intrusive on your phone. I just got this app and I will try testing it further. There is no real user interface, and you cannot make many changes within the app itself, nor options to choose from.",,,,negative
Brenda J. Mcatee,1.0 out of 5 stars,Wonât load if you use Amazon Firestick.,I am rating this product 1star because the system would not let me rate it zero stars. This product would not load on my iMac because I am using an Amazon Firestick on my TV. Bizarre!,,,,negative
Oscar CÃ¡rcamo,1.0 out of 5 stars,App crash,"I pay for this app in kindle fire 10, and the app crash when i press in the icon NO OPEN, i send message to try contact with the tech support and no response",,,,negative
Jessica RodrÃ­guez,1.0 out of 5 stars,dont buy it,I paid for it and I cant even use it. Inregret of buyimg this tablet brand. there are no apps available and the ones available are a disapointment.,,,,negative
Robert,1.0 out of 5 stars,Don't waste your money,"Garbage.Â  Every pdf file I try to open it says ""invalid file"". Thieves.",,,,negative
Lordservo,4.0 out of 5 stars,"Great for reading, good for annotating","I've been using this program for reading and tracking my place in knitting patterns.Â  Works great for reading, but annotating can be a little difficult from my phone depending on what I am trying to do.",,,,negative
Zong,1.0 out of 5 stars,Not working in my tab,I just paid to download this. Not working. It shuts off when I open a Pdf file. :( waste of money,,,,negative
mickthecat,1.0 out of 5 stars,Crap app.,"Can't use at all.Â  App crashes as soon as file is opened.Â  It's crap.Â  Plus, there's no way to get support.Â  No help file.",,,,negative
Travis Wooden,1.0 out of 5 stars,CRASHES INSTANTLLY,CRASHES INSTANTLY ON AMAZON FIRE. DO NOT BUY!,,,,negative
Zli,1.0 out of 5 stars,Not forking on my Fire HD 8 (2016),"Tried to upload several different (in size, origin, location...) PDFs, every time app shuts down. Cleared cashe, reinstalled it - did not help. Not working!",,,,negative
Frank Z,3.0 out of 5 stars,Why can't I hide the stupid toolbar?,Why am I forced to look at this obnoxious tool bar when I'm trying to read a PDF? there is no obvious way to hide this thing! I can't rate it higher than one star because it useless for reading PDFs!,,,,negative
G. Miescke,1.0 out of 5 stars,Waste of money.,I should have believed the reviews. Crashes on everything that I try to open. Waste of money. Big disappointment!,,,,negative
Brandy,3.0 out of 5 stars,its ok,Don't like the fact that you can't change the font size or turn to night time view. When you let it read for you you can't move it forward you have to wait for it to get to the part you want.,,,,negative
Myra E.,1.0 out of 5 stars,Amazon fire HD10,PDF MAX or PRO is NOT compatible with Amazon Fire HD10.I paid for a useless digital product.,,,,negative
M. Messinger,2.0 out of 5 stars,"In the Evernote app, for Android, click on ...","In the Evernote app, for Android, click on a PDF attachment and - ugh! PDF Max 4 replies it's an ""invalid file"". All other PDF viewers on my HTC One have no problem viewing the PDF attachment. So, PDF Max 4 is now uninstalled.",,,,negative
Nicole vier2kest,3.0 out of 5 stars,I'm having issues with this app. help!,"It says it has saved but then I go back in and my highlights and underlines are gone. It asked if I wanted to ""back up"" I said yes and it doesn't appear to have done anything. A few seconds later the app ""encountered a problem"" and forced close on me :(",,,,negative
Ron,1.0 out of 5 stars,Doesnât work in my kindle,"this app doesnât work well in my kindle, I had to uninstall it immediately! I wasted my money!",,,,negative
AlanK,1.0 out of 5 stars,Since this requires being logged in to Amazon Appstore (WHY ...,"Since this requires being logged in to Amazon Appstore (WHY?) to run, it will not run, as Appstore does not accept my valid UN/PW.",,,,negative
Felicia Zabin,2.0 out of 5 stars,Erase not working (or don't now how to make it work),I recently purchased this app for my Kindle Fire.Â  Where would I find instructions?Â  Also Erase doesn't work.Â  I typed in something and now I am stuck with it.Â  How to I remove something I typed?Â  Useless if I can't erase....,,,,negative
Y. Shugol,1.0 out of 5 stars,Could not install,I have downloaded the software at least a dozen times and still could not install it on Samsung Galaxy S4 with the Android 4.4.2 operating system.Â  The installation process never completed and software not installed.Â  This was the first software package that failed to install on my phone.,,,,negative
patricia,1.0 out of 5 stars,Not working,I download and install the app but when i click to open i get a message something like camelia.com stop working.Â  I tried several times and i still get the same error message.ThisÂ  is the paid version,,,,negative
JS,1.0 out of 5 stars,Horrible,I could not open any pdf's via this app.Â  It would just shut down.Â  Worst money spent.,,,,negative
Adam Knight,1.0 out of 5 stars,Buyer beware,"Terrible purchase. Does nothing that the Free version doesn't do. Bought it so that I could save flattened documents and repeatedly crashes or freezes when trying to do this, or reports errors.",,,,negative
Zenka Wistram,1.0 out of 5 stars,I loved this product for a bit but it's no longer ...,Continually crashes as soon as I try to open a file.Â  Developer cannot be contacted.Â  I loved this product for a bit but it's no longer worth money if it can't be fixed and I can't even tell the developer what is happening.Â  I don't recommend buying this in light of there being no useful way to contact the developer.,,,,negative
Daniel,4.0 out of 5 stars,A very good PDF reader and writer,"This is the third PDF reader I have and the one I can read texts the easiest. I've read some opinions that say there's no guide for it, but it's not true. If one visits the developer's website he/she will find the guide there.",,,,negative
J. Murdock,2.0 out of 5 stars,hate it!,"This is the weakest of the pdf apps I've tried, and most expensive. I expected for the money to get more functionality. Instead it has less. You can't even resize text annotations-how stupid. Don't waste your money.",,,,negative
Aaron Smith,1.0 out of 5 stars,Waste of money,"Doesn't open PDFs, doesn't work, don't waste your money. 0 stars don't recommend",,,,negative
Sarah,1.0 out of 5 stars,App doesnt open,Waste of money app won't open,,,,negative
Ryan Thomas Johnson,1.0 out of 5 stars,Don't Waste Your Money...Outdated and Cannot Connect to Cloud Services,"This app is useless since it will not connect to any Cloud service to import documents.Â  Dropbox and Google Drive both indicate that they tried to contact the app developer to tell them that their authentication was outdated and users would not be able to use the cloud services until they updated it.Â  Who knows how long ago that was.Â  In the technology world, this is business suicide. I made the mistake of paying for this app and it doesn't even work for what I need it for.Â  So don't waste your money.Â  Just go download Adobe Reader from the Amazon Appstore and it does what you need it to do (plus its FREE).",,,,negative
Khan Man,3.0 out of 5 stars,Three Stars,Not sure if I like it or dislike it.,,,,negative
Amazon Customer,1.0 out of 5 stars,Didn't work!,Did not work properly on my new fire 8 HD plus. Worthless purchase!,,,,negative
Denis Lapointe,3.0 out of 5 stars,Three Stars,Errors downloaded,,,,negative
Fig â¢ Richard Cassidy ð´ ð± ð´,2.0 out of 5 stars,Cannot open pdf from web stream.,Each time I try to open a pdf from the web it errors out ad bad file. This is a deal breaker for me.,,,,negative
Bezbozny,3.0 out of 5 stars,Google drive authentication failure,Not a bad application bit I can not find a way to contact the developer to report an issue. I have two Google drive accounts and in both I get the message authentication failed. .. There is some kind of bug. No problem with the other cloud services. I wish copy could be added in the cloud services.,,,,negative
Eric A. Magana,1.0 out of 5 stars,Failed to install,I tried to install the app but it fails to install correctly. When I go to the app store it says that it is installed but I go to the phone app list and it is not there. I had to long press the app store link to get it to uninstall it because it would not show up in the app manager either.,,,,negative
Michaela O'Shaughnessey,1.0 out of 5 stars,Useless,This app doesn't work with Dropbox (or any cloud service as far as I'm aware) which makes it totally useless. I wasted $4.,,,,negative
Marlow,4.0 out of 5 stars,great all around except for one minor flaw,"Loads faster than my repligo reader, which is better than most pdf readers, but pdf max is missing turning pages via volume buttons. It's slower to turn pages by swipe instead of pressing a button.",,,,negative
VMAT4,1.0 out of 5 stars,P.O.S.,Crashes nearly every time!Â  Rotate your device and it crashes.Â  Open a PDF and voila 95% chance of a crash.,,,,negative
Charles D. Thaxton,5.0 out of 5 stars,I hope it stays that good.,I haveÂ  hadÂ  no problems so far. Until I got the app. I had problems reading pdf files. I hope it stays that good.,,,,negative
S. Surrey,1.0 out of 5 stars,Galaxy note 4 won't install,Tried three times... I had hoped that android and samgsung had worked this nonsense out.,,,,negative
Amazon Customer,2.0 out of 5 stars,It crashes repearedly on my kindle fire hd,"I have a lot of problema with it, the app crashes repeatedly on mi Kindle fire hd.",,,,negative
Gilberto Rodriguez,1.0 out of 5 stars,One person found this helpful,Report abuse,,,,negative
Cheryl Christian,1.0 out of 5 stars,Kindle Fire HDX fail,App doesn't work properly on my Kindle Fire HDX.Â  When first installed it worked.Â  After I closed & reopened the app it stopped working..Â  When I open a document it closes the app.Â  Uninstall & reinstall made no difference.,,,,negative
Morgan Justine,1.0 out of 5 stars,Program requires full time internet access. When I tried ...,"Program requires full time internet access.Â  When I tried to us it the first time offline, it tried to connect toÂ  some remote server and failed with a crash which required hard reboot.Â  I de-installed it.",,,,negative
Victoria,1.0 out of 5 stars,Not good.,Doesn't work on my Samsung phone. Says internal error and that I do not own the app when I paid for it. Not good.,,,,negative
Chester V.,1.0 out of 5 stars,Unusable,"I know it supposed to work smooth and all. But for some reason, it always stop. I'm using Samsung Note 4 with ebooks on my memory card.",,,,negative
Valrhona,4.0 out of 5 stars,a purchase shouldn't need to have license renewed,It would be a 5 if it worked all the time offline without having to update the license,,,,negative
Rich,2.0 out of 5 stars,Two Stars,"Can confirm as reported, no go on the Toshiba Thrive tablet.",,,,negative
Zee38,1.0 out of 5 stars,Worthless,I hate it!! It won't let me open any of my downloads. It just closes and goes back to the home screen. This app is completely non functioning.,,,,negative
Eno,1.0 out of 5 stars,Beware!,Bought it. Won't open any PDF. Waste of my money.,,,,negative
Amazon Customer,3.0 out of 5 stars,Three Stars,"Not so hot, not user friendly.",,,,negative
V. B. Biggar,2.0 out of 5 stars,Failure to open,This doesn't open a lot of PDFs. It fails 9 out of 10 times.,,,,negative
Amazon Customer,5.0 out of 5 stars,I recommend it to everyone looking for a PDF application,User friendly.Â  It has alot of capabilities that I have not used yet. I recommend it to everyone looking for a PDF application.,,,,negative
icardoth,2.0 out of 5 stars,There are better choices,"Huge storage consumption, poor performance, cluttered interface. Uninstalling.",,,,negative
Leonel S.,3.0 out of 5 stars,Great but I have big problems,"It's a great app, maybe the best for pdf docs, but, I have problems with my bookmarks, every time I close the app and open it again, I loose all my bookmarks, is really frustrating",,,,negative
Hussni Momani,5.0 out of 5 stars,I had few documents that I was unable to open ...,"I had few documents that I was unable to open on my kindle, but with is app I had no problems. I wish it on my kindle long time ago",,,,negative
lorre,2.0 out of 5 stars,ANNOYING,"ð¬ All the tool work very poorly ,and some time don't even to do anything it frustrating",,,,negative
Max,1.0 out of 5 stars,Doesn't work,"Sometime ago it just stopped working. Whenever I try to open any file, it just closes the app. I can open the app with no doc, but as soon as I try to load one it closes. Same thing happens when you try to use it from another app (such as opening a doc from email). Used to be good. Now useless!",,,,negative
wayne r crowley,3.0 out of 5 stars,Can't reload purchased app,Unable to reload purchased copy after factory restore to fix root problem,,,,negative
kindle hd,3.0 out of 5 stars,ok,Its an ok app. The only thing is when I close the app and reopen itÂ  everything I highlighted disappears.,,,,negative
sanjeev kumar s,3.0 out of 5 stars,Three Stars,still some problem,,,,negative
Marcus Vinicius Lima Martins,2.0 out of 5 stars,Don't work,It doesn't save my modifications and doesn't read I type of extensions. The documents acess is complicated and confusing too.,,,,negative
Gerrit Klaschke,1.0 out of 5 stars,Not opening pdf,Just installed on Amazon fire and linked to my dropbox. Does not open any pdfs or crashes into home screen. WTH?,,,,negative
Jamie Etherton,1.0 out of 5 stars,Program doesn't work. Contact with company through email an ...,Program doesn't work.Â  Contact with company through email an website failed.,,,,negative
Dan,1.0 out of 5 stars,One Star,Misleading,,,,negative
Ginger Bill,1.0 out of 5 stars,unable to download,"Could not download on my Galaxy Note 2 10"" tablet. Kept showing error. Sorry",,,,negative
Rui,1.0 out of 5 stars,Not working,"Installed 1st on my moto g and it worked. But doesn't work on my tablet, LG GPad where i would use it. Unfortunately pdfmax has stopped.That's the error i get. And i don't even need to open any pdf.If i browse using my explorer or pdf max i get this error.",,,,negative
Slvfox,1.0 out of 5 stars,unable to install,Keep getting error message &#34;X app not installed&#34; on Galaxy Nexus 10.,,,,negative
Obox,5.0 out of 5 stars,great app,I get PDF docs all the time that I need to access from my kindle. I have the hardest time accessing anything that I just downloaded from an email. The app I was using could never find the download folder. I would always figure it out but it wasn't easy. I like easy and this app made that very simple task easy! I cannot wait to try the other features.,,,,negative
John D.,1.0 out of 5 stars,App not working!,Doesn't open files and keeps stopping.,,,,negative
Luc Derepentigny,1.0 out of 5 stars,"s3 tab, crash crash","s3 tab, i try to open 1 file, crash, and now i soon as i open the apps, crash",,,,negative
K. Frost,4.0 out of 5 stars,Seems OK enough,"It seems to work out.Â  Hard to fault, but there's no killer features that give it an edge as far as I can tell.",,,,negative
Dean C. Banks,1.0 out of 5 stars,Will not install,"Galaxy Note II, had earlier version installed, tried to update, failed.Â  Uninstalled, tried to install, failed.",,,,negative
Tae Jin Kim,3.0 out of 5 stars,Three Stars,Just works fine. Functionality is a little worse than Mac version.,,,,negative
Mark,2.0 out of 5 stars,Two Stars,I'm unsure about this one,,,,negative
Ben Mehling,4.0 out of 5 stars,"An excellent editor, but...","My only complaint about this otherwise excellent app is that it has no printing capability. So I have to have 2 pdf apps. This for editing, and adobe reader for printing. Fix this annoyance and it's 5 stars.",,,,negative
Winter's Icy Grip,1.0 out of 5 stars,Crashes when you open pdf file - obsolete,"No longer works. It used to be a fairly useful app, but currently cannot open pdf docs without crashing on my Kindle Fire.",,,,negative
Ricky 419,4.0 out of 5 stars,Good functionality for a tablet,"I use this app to read PDF files. I would hate to have to annotate, export, or manipulate files on my tablet with it. I just don't think any touchscreen can replace a mouse and a huge monitor.",,,,negative
Todd K Yoshida,1.0 out of 5 stars,useless app,The program will not open PDF documents so its useless.,,,,negative
LW,2.0 out of 5 stars,Stopped working,"It asked two days ago....I would have said this app works great.Â  But two days ago it stopped working.Â  My files are there, but when I go to open one of them... it kicks me out of the app, and back to the home screen. What the heck!",,,,negative
ccrenshaw2012,1.0 out of 5 stars,One Star,It constantly crashes and fails to open my files. Uninstalled.,,,,negative
Amazon Customer,1.0 out of 5 stars,Doesn't work,Purchased it and a waste of money. Kicks me out of the app when I try to open a file.,,,,negative
NIZAM,3.0 out of 5 stars,Not Satisfied,"While opening a PDF file in my Nexus 7 (2013-Wifi Only Tablet) , the original Font style of that PDF file changed! The file doesn't appear in its Original form. Ultimately, reading becomes pathetic. This problem doesn't exist in my Uncle's Samsung Galaxy E7 smartphone. This app is functioning there normally. Please Fix this issue at the earliest.",,,,negative
AmazonFan,3.0 out of 5 stars,It's Okay,Highlighting a single line is very difficult.,,,,negative
iivvoo,2.0 out of 5 stars,"Unreadable font, can't be changed",PDF documents look terrible on my nexus 7 / android 5.1.1 due to the awful font used. I can't find a way to change the default font. Not usable for me this way.,,,,negative
Kindle Customer,1.0 out of 5 stars,Not Pleased,"Never been able to get this app to work on my new Kindle Fire 10 inch HD, just keeps crashing over and over again, but I keep trying.",,,,negative
Lucas Torres,5.0 out of 5 stars,Stop Giving Bad Ratings,"For all those that are saying this doesn't work, are incorrect.As you can clearly see by the screenshots, this works perfectly well,you people are just doing it wrong, and some devices are really useless, im on a kindle fire,(NOT HD!) And everything works just fine, when i went to download this on my kindle fire HD, nothing worked, so basically, the HD is just glitching out and is breaking the app,and for those who are saying the ipad version has more features, at the time this was posted there was only 32 ratings. Which means this app was released recently. SO THEY HAVENT HAD TIME TO FULLY IMPLEMENT ALL THE FEATURES. So stop giving this bad reviews because it wont work, or the highlighting is glitched and other stuff ive seen, give these people a chance, for all we know, they might be working on 12 other apps!Bottom line:Give them time to fully implement all the features, and tell amazon to make a better Kindle Fire HD! Because the Kindle HD has numerous complaints about, blue tint on edges of screen, yellow tint to the screen, wifi not working, just go on the page and read all the one star reviews! This worked just fine for me, no problems what so ever.",,,,negative
nlkleve,1.0 out of 5 stars,Worthless,Doesn't save changes to form fields... Except once in awhile it does.Â  Worthless,,,,negative
ALEX C PANKOFF,3.0 out of 5 stars,Three Stars,rEALLY NOT WORTH THE EFFORT.,,,,negative
Jody,2.0 out of 5 stars,OK but not essential,"Crashes frequently, not as great as described. HTC ONE M-7",,,,negative
Crystal M Scott,1.0 out of 5 stars,Would've been great,Doesn't work for Kindle Fire,,,,negative
Customer,1.0 out of 5 stars,Can't open files in Android 7,Kept getting 'invalid file' error until I updated the permissions to include storage.Â  Now it just crashes when I try opening any pdf.,,,,negative
Blackhawk,5.0 out of 5 stars,10 minutes in and blown away...super,Dropbox functionality to boot.Â  The ability to work with off was my Kindle fire biggest weakness. The speech features is great...too. I Was waiting for this. Am I dreaming?,,,,negative
righi,1.0 out of 5 stars,so bad,Omg this is so bad. Advertised as the best it is the worst. Wont even play embedded media. So why bother?!,,,,negative
G. Mello,5.0 out of 5 stars,"Strong, Reliable, Light Weight, Dependable:Â  It works well!","Five stars. Those cheap kits that you buy to open and fix your cracked screen pads just don't have strong enough plastic openers. Once I purchased this I was able to open any delicately snapped together devices. It's tough, finely built and does the job with minimal effort and no damage. You may still need those kits for the other work on broken pads inside.",,,,negative
BB__8,1.0 out of 5 stars,PDF Max Pro,A paid app that does not work! Why? Please Fix!,,,,negative
Marty,2.0 out of 5 stars,I'm not so thrilled!,"Maybe I don't know what I'm doing with this app but, it just isn't working for me. I want to underline a section but the lines are very thin, keep changing to yellow after being changed to another color, and only partially underlines what I want. I'll keep working with it to get the hang of it. I am frustrated at this point.",,,,negative
cooper,1.0 out of 5 stars,One Star,worked on my nerves,,,,negative
CARLOS A. FOZZATI,1.0 out of 5 stars,One Star,Too bad,,,,negative
Piper McCain,1.0 out of 5 stars,Looks like a dead app,Looks like a dead app. Website and support disappeared. It corrupted a document with no apparent way to recover it.,,,,negative
corey leach,1.0 out of 5 stars,Save Your Money,This app is absolutely useless and should be removed from the kindle app store. Will not open a single pdf.,,,,negative
xav,1.0 out of 5 stars,"It used to be a good app, but now either i can install it ...","It used to be a good app, but now either i can install it no more (this is the case on my galaxy note pro) or it closes as soon as I have opened a pdf (this is the case on my galaxy note 2014). So it is not usable anymore.",,,,negative
Rosemirie hope hagen,1.0 out of 5 stars,sucks,Cant figure out how to use it. I rate this poor no instrustion that I can find. Not easy to use.,,,,negative
Toya Hayden,1.0 out of 5 stars,App Does Not Perform as Stated,"I downloaded this app for my MacBook Pro on 10/13/13.Â  It has failed to work on my MacBook.Â  I have tweeted my issue.Â  In addition, I have emailed support.Â  I sent an email with the PDF files that I was trying to open.Â  I also included a video showing the app is not working properly.Â  It has been 3 days.Â  This is beyond frustrating that I cannot get the proper support to resolve the issue.Â  I contacted AppleCare, and they stated everything is working properly on my Mac.Â  I cannot believe that I cannot receive assistance with an app that I purchased.Â  This is ridiculous.Â  I purchased and downloaded another app that is very similar to this one and it works perfectly.Â  More importantly, I have left a review of this application giving it another terrible rating.Â  The likelihood of this app succeeding after my App Store review, tweets, and Facebook comments posts is very slim.Â  Clearly, customer reviews are very important to consumers.Â  I am beyond disappointed in how the support department has ignored my issue.Â  Furthermore, I have requested a refund for this app.Â  This is the worst experience that I have had with an application.Â  I have hundreds of applications on my Mac, iPad, and iPhone and all of them function as stated except for the one from your company.Â  Each time this app crashes a crash report is sent to Apple.Â  Does your company receive a copy of this report?Â  I am going to guess that you do receive a copy of this report.Â  Apple is a very innovative company in the number 1 brand in the world.Â  I can't imagine why you haven't reviewed the crash report.Â  However,Â  I was advised by AppleCare that I can callback with my case number and they will begin a process to investigate my complaint in detail.Â  I will be contacting them today!Thank you,Toya Hayden",,,,negative
Ãscar SotorrÃ­o,1.0 out of 5 stars,It is not working at all,"I am using Amazon HE 8 Tablet 32GB. The application crash every time I try to open a pdf file. I have never got to read one single file. The links to Twitter and Facebook provided by the developer of the app are ""fake"". It is like there is no one supporting this app. It is really unfair!!",,,,negative
Amazon Customer,1.0 out of 5 stars,How do I get a refund on an app that isn't working?,"I've just purchased and downloaded this app, but it does not work on my Kindle Fire HD.Â  I would return it for a refund if there was any way I can see of doing so.",,,,negative
AK,1.0 out of 5 stars,Unusable app,"Read great reviews on Cnet etc about the app though there were some bad reviews on Amazon. Despite that, I bought the app. Installed it and so far each time I try to open a document, the app has closed. It is not an expensive app but I feel cheated that it is totally unworkable and not fit for purpose. I suggest the developers look into this, otherwise there is no future for the app.",,,,negative
Audio-post,1.0 out of 5 stars,Does not work,Does not link to Dropbox and does not open a file just goes back to home screen. Very poor,,,,negative
Robert John,1.0 out of 5 stars,Keep stopping,"Whenever try to open pdf, this app keep stopping",,,,negative
Mr. P. A. Richardson,1.0 out of 5 stars,Crashes,Crashes when opening.. Waste of money!,,,,negative
Paul Newton,1.0 out of 5 stars,Something changed and now its broke.,"Had been working really well for ages, but now it exits to home screen each time I open a pdf file.Kindle Fire HD 6",,,,negative
Rory Broadfoot,1.0 out of 5 stars,Useless,Crashes when ever you try and open a PDF. Useless,,,,negative
roy ward,3.0 out of 5 stars,Three Stars,sorry got this by mistake,,,,negative
KL,1.0 out of 5 stars,Keeps crashing.,"Waste of time. Keeps crashing, so any annotations you've made are lost.",,,,negative
TheBlackPearl,2.0 out of 5 stars,Two Stars,Difficult to use,,,,negative
S. Hewitt,1.0 out of 5 stars,Couldn't Use,"Didn't Install Properly. Couldn't use or even uninstall, so obviously not happy.",,,,negative
Vickie G.,1.0 out of 5 stars,False advertising ?,I download this app to my Kindle Fire HD. I tried to print and it would not let me print unless I upgraded to paying for the app.,,,,negative
Susan L. L.,1.0 out of 5 stars,Not FREE,Makes my Amazon Fire print wirelessly and simply,,,,negative
Kindle Customer,5.0 out of 5 stars,it worked,"It did work for one page with older Brother printer and Fire 8 tablet, before asking for money.Â  Now removed.",,,,negative
Brenda R. Colthorp,3.0 out of 5 stars,Convenient,Was having problems with my old print app not finding my printer. Hammermill connections every time.,,,,negative
Katie123cats,5.0 out of 5 stars,This is a must have for anyone who uses tablets ...,"Had problems with this App finding my Printer. However, after a little extra effort, this APP works fine. I can now print from my Fire 8",,,,negative
ThweattH,5.0 out of 5 stars,Turn on Bluetooth,"Second app I downloaded. Printed from my email no trouble using my Kindle Fire! Now to figure out how to print from a pdf file! Says I can, but it doesn't! I'll figure it out. I'm not the most tech savvy person.",,,,negative
Texas817,5.0 out of 5 stars,Print from Kindle Wirelessly!,"Got it to print a pdf from my fire to HP printer. It hooked up fine, but required a paid upgrade to print the pdf.Donât need it.",,,,negative
J Watson,5.0 out of 5 stars,Finally something that works with a Kindle,This app worked well in connecting my Fire 7 to my printer!!,,,,negative
carrolyn,5.0 out of 5 stars,Wonderful.,Use of this app is now the only way I can print on my Hp with the Kindle. Hp app is no longer available or useable with Kindle,,,,negative
